title,link,summary,sentiment
,https://www.msn.com/en-in/news/world/is-elon-musk-an-alien-tesla-chiefs-balancing-stunt-at-donald-trumps-1m-dinner-goes-viral/ar-AA1BuFkx?ocid=BingNewsVerp,"Elon Musk attended Donald Trump's exclusive Mar-a-Lago dinner, showcasing his balancing skills with forks and spoons, ...",Positive
,https://www.financialexpress.com/business/investing-abroad-amazon-tesla-x-among-major-firms-to-secure-maximum-h-1b-visa-approvals-in-2024-details-inside-3786058/,"Tesla, along with other technology powerhouses like Google, Meta, Microsoft, and Apple, leveraged the H-1B visa programme to ...",Positive
,https://www.thequint.com/tech-and-auto/explained-tesla-launch-india-mumbai-elon-musk-wooing-indian-consumers,"As we move closer to Tesla's India launch in Mumbai, automobile experts and market pundits are divided over the influence the ...",Neutral
,https://www.thehindu.com/sci-tech/technology/what-is-dogequest-campgaign-against-elon-musks-tesla/article69352635.ece,"DOGE protests against Elon Musk continue, a website called ‘Dogequest’ is publishing personal details of Tesla owners in the ...",Negative
,https://www.msn.com/en-in/money/human-resources/amazon-tesla-and-x-other-us-companies-that-bagged-maximum-h-1b-visas-in-2024/ar-AA1BtXj1?ocid=BingNewsVerp,"Amazon and Tesla are among the top beneficiaries of the H-1B visa program in 2025, securing thousands of approvals. These ...",Positive
,https://www.msn.com/en-in/entertainment/tv/i-can-t-walk-past-the-tv-without-seeing-a-tesla-on-fire-but-my-advice-is-says-elon-musk-at-teslas-surprise-all-hands-meeting/ar-AA1Bon3Z?ocid=BingNewsVerp,"Elon Musk addressed Tesla employees in a meeting commending their efforts, highlighting achievements like the rollout of over ...",Positive
,https://www.moneycontrol.com/world/minnesota-guv-tim-walz-clarifies-tesla-stock-remarks-takes-fresh-swipe-at-elon-musk-article-12972626.html,"Walz's clarification follows backlash over his earlier remarks at an event in Wisconsin, where he mocked Tesla’s declining ...",Negative
,https://indianexpress.com/article/explained/tesla-recall-cybertrucks-problems-ev-9898882/,This is the eighth recall of Cyberstrucks in the brief span they have been on the roads. It’s not great news for a company ...,Negative
,https://www.news18.com/business/markets/how-tata-group-could-become-a-key-character-in-teslas-india-story-9269270.html,"As Tesla plans its expansion into India, these Tata companies are positioning themselves to play a larger role in the ...",Positive
,https://www.business-standard.com/world-news/donald-trump-warning-tesla-attacks-elon-musk-doge-125032100387_1.html,"The warning comes amid a rise in attacks on Tesla showrooms, cars, and charging stations following the appointment of CEO ...",Negative
